"filename", "language", "Dart", "comment", "blank", "total"
"e:\flutter projects\eventsmanager\lib\features\events\presentation\manager\createEvent\base_form_controller.dart", "Dart", 16, 0, 3, 19
"e:\flutter projects\eventsmanager\lib\features\events\presentation\manager\createEvent\capacity_mixin.dart", "Dart", 27, 0, 5, 32
"e:\flutter projects\eventsmanager\lib\features\events\presentation\manager\createEvent\create_event_controller.dart", "Dart", 104, 1, 18, 123
"e:\flutter projects\eventsmanager\lib\features\events\presentation\manager\createEvent\date_time_picker_mixin.dart", "Dart", 50, 0, 8, 58
"e:\flutter projects\eventsmanager\lib\features\events\presentation\manager\createEvent\image_picker_mixin.dart", "Dart", 22, 0, 6, 28
"e:\flutter projects\eventsmanager\lib\features\events\presentation\manager\createdEvents\created_event_controller.dart", "Dart", 34, 0, 9, 43
"e:\flutter projects\eventsmanager\lib\features\events\presentation\manager\createdEvents\pagination_controller.dart", "Dart", 65, 7, 23, 95
"e:\flutter projects\eventsmanager\lib\features\events\presentation\manager\editEvent\edit_event_binding.dart", "Dart", 9, 0, 2, 11
"e:\flutter projects\eventsmanager\lib\features\events\presentation\manager\editEvent\edit_event_controller.dart", "Dart", 67, 5, 10, 82
"e:\flutter projects\eventsmanager\lib\features\events\presentation\manager\eventAttendees\event_attendess_binding.dart", "Dart", 8, 0, 2, 10
"e:\flutter projects\eventsmanager\lib\features\events\presentation\manager\eventAttendees\event_attendess_controller.dart", "Dart", 2, 0, 1, 3
"e:\flutter projects\eventsmanager\lib\features\events\presentation\manager\eventDashboard\event_dashboard_binding.dart", "Dart", 8, 0, 2, 10
"e:\flutter projects\eventsmanager\lib\features\events\presentation\manager\eventDashboard\event_dashboard_controller.dart", "Dart", 10, 0, 2, 12
"e:\flutter projects\eventsmanager\lib\features\events\presentation\manager\eventDetails\event_details_binding.dart", "Dart", 8, 0, 2, 10
"e:\flutter projects\eventsmanager\lib\features\events\presentation\manager\eventDetails\event_details_controller.dart", "Dart", 86, 6, 23, 115
"e:\flutter projects\eventsmanager\lib\features\events\presentation\manager\eventInvites\event_invites_binding.dart", "Dart", 8, 0, 2, 10
"e:\flutter projects\eventsmanager\lib\features\events\presentation\manager\eventInvites\event_invites_controller.dart", "Dart", 42, 8, 18, 68
"e:\flutter projects\eventsmanager\lib\features\events\presentation\manager\eventManagers\event_managers_binding.dart", "Dart", 8, 0, 2, 10
"e:\flutter projects\eventsmanager\lib\features\events\presentation\manager\eventManagers\event_managers_controller.dart", "Dart", 3, 0, 2, 5
"e:\flutter projects\eventsmanager\lib\features\events\presentation\manager\eventMap\event_map_binding.dart", "Dart", 9, 0, 2, 11
"e:\flutter projects\eventsmanager\lib\features\events\presentation\manager\eventMap\event_map_controller.dart", "Dart", 153, 11, 35, 199
"e:\flutter projects\eventsmanager\lib\features\events\presentation\manager\eventQr\event_qr_binding.dart", "Dart", 8, 0, 2, 10
"e:\flutter projects\eventsmanager\lib\features\events\presentation\manager\eventQr\event_qr_contrller.dart", "Dart", 71, 3, 12, 86
"e:\flutter projects\eventsmanager\lib\features\events\presentation\manager\root_binding.dart", "Dart", 20, 2, 3, 25
"e:\flutter projects\eventsmanager\lib\features\events\presentation\manager\scanQr\scan_qr_binding.dart", "Dart", 8, 0, 2, 10
"e:\flutter projects\eventsmanager\lib\features\events\presentation\manager\scanQr\scan_qr_controller.dart", "Dart", 78, 5, 23, 106
"e:\flutter projects\eventsmanager\lib\features\events\presentation\manager\searchEvent\search_event_controller.dart", "Dart", 115, 10, 29, 154
"e:\flutter projects\eventsmanager\lib\features\events\presentation\manager\sendInvite\send_invite_binding.dart", "Dart", 8, 0, 2, 10
"e:\flutter projects\eventsmanager\lib\features\events\presentation\manager\sendInvite\send_invite_controller.dart", "Dart", 42, 8, 19, 69
"e:\flutter projects\eventsmanager\lib\features\events\presentation\view\attended_event_view.dart", "Dart", 63, 0, 3, 66
"e:\flutter projects\eventsmanager\lib\features\events\presentation\view\create_event_view.dart", "Dart", 181, 5, 9, 195
"e:\flutter projects\eventsmanager\lib\features\events\presentation\view\created_event_view.dart", "Dart", 65, 0, 3, 68
"e:\flutter projects\eventsmanager\lib\features\events\presentation\view\dashboard_view.dart", "Dart", 85, 2, 5, 92
"e:\flutter projects\eventsmanager\lib\features\events\presentation\view\edit_event_view.dart", "Dart", 157, 5, 10, 172
"e:\flutter projects\eventsmanager\lib\features\events\presentation\view\event_attendees_view.dart", "Dart", 26, 13, 5, 44
"e:\flutter projects\eventsmanager\lib\features\events\presentation\view\event_details_view.dart", "Dart", 61, 3, 8, 72
"e:\flutter projects\eventsmanager\lib\features\events\presentation\view\event_invites_view.dart", "Dart", 41, 16, 5, 62
"e:\flutter projects\eventsmanager\lib\features\events\presentation\view\event_managers_view.dart", "Dart", 26, 13, 5, 44
"e:\flutter projects\eventsmanager\lib\features\events\presentation\view\event_map_view.dart", "Dart", 193, 12, 22, 227
